mode,run,branch,was_winner,cancelled,result_numeric,result_detail,condition_value,condition_duration_ms,branch_start_ms,branch_end_ms,branch_duration_ms,total_duration_ms,error
especulativo,24,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3241978,5.435,0.026,21.445,21.419,21.448,
especulativo,25,B,false,true,0,count=0,3240870,5.806,0.061,5.809,5.748,21.615,
especulativo,25,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3240870,5.806,0.028,21.611,21.583,21.615,
especulativo,26,B,false,true,0,count=0,3240771,5.430,0.060,5.433,5.373,21.313,
especulativo,26,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3240771,5.430,0.028,21.310,21.282,21.313,
especulativo,27,B,false,true,0,count=0,3237040,5.369,0.059,5.372,5.313,21.197,
especulativo,27,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3237040,5.369,0.025,21.194,21.168,21.197,
especulativo,28,B,false,true,0,count=0,3256159,5.404,0.079,5.407,5.328,21.387,
especulativo,28,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3256159,5.404,0.035,21.385,21.350,21.387,
especulativo,29,B,false,true,0,count=0,3251376,5.724,0.059,5.727,5.668,21.590,
especulativo,29,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3251376,5.724,0.026,21.588,21.562,21.590,
especulativo,30,B,false,true,0,count=0,3247309,5.477,0.058,5.480,5.421,21.356,
especulativo,30,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3247309,5.477,0.026,21.354,21.328,21.356,
secuencial,1,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3229743,4.758,4.758,25.861,21.102,25.861,
secuencial,2,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3231384,4.603,4.603,24.724,20.121,24.725,
secuencial,3,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3245546,4.747,4.747,24.967,20.220,24.967,
secuencial,4,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3241237,4.619,4.619,24.710,20.091,24.711,
secuencial,5,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3251726,4.745,4.746,25.076,20.330,25.076,
secuencial,6,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3232165,4.608,4.609,24.800,20.191,24.800,
secuencial,7,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3238885,4.740,4.741,25.061,20.320,25.061,
secuencial,8,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3234194,4.632,4.633,24.767,20.133,24.767,
secuencial,9,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3237568,4.745,4.746,25.087,20.341,25.087,
secuencial,10,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3254105,4.674,4.674,24.691,20.017,24.691,
secuencial,11,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3238241,4.587,4.588,24.724,20.136,24.724,
secuencial,12,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3241070,4.835,4.835,25.058,20.223,25.058,
secuencial,13,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3243512,4.657,4.657,24.785,20.128,24.785,
secuencial,14,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3246672,4.912,4.912,24.971,20.059,24.971,
secuencial,15,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3236188,4.619,4.619,24.753,20.134,24.754,
secuencial,16,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3248512,4.889,4.889,24.954,20.065,24.955,
secuencial,17,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3232232,4.630,4.630,24.816,20.186,24.817,
secuencial,18,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3227477,4.932,4.932,25.018,20.086,25.018,
secuencial,19,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3245048,4.636,4.636,24.747,20.110,24.747,
secuencial,20,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3238974,4.864,4.864,25.005,20.141,25.005,
secuencial,21,A,true,false,103631,hash=00000c4c6d4e3da1a2c38e5c1f7df099caafc47302642172afe40f9cbef6056d,3241911,4.627,4.627,24.780,20.152,24.780,
